iteration,utc,proposer,arm,commit,baseline,correctness,sessions,delta_percent,stderr_log_ratio,z,verdict,artifact
bootstrap,2026-09-19T20:21:25Z,evaluator,reference,60fb499,baseline,full-external-memory-and-debug-pass,3,3.4596941740240035,0.0008109925796383737,41.938636004928995,reference-gap-established-not-eligible,bootstrap-summary.json
e1,2026-09-19T20:50:25.0742799Z,e1,e1-5460481,54604812649247846f4bb3f38ebc56d30c161997,baseline,full-external-memory-and-debug-pass,3,-0.11104700776003841,0.00014443051365248353,-7.6928834374108614,reject-regression,e1-vs-baseline-summary.json
e2-screen,2026-09-19T21:06:02.6027398Z,e2,e2-3092b55,3092b55690dfc613a7681a3207a5515c936e0f6d,baseline,full-external-memory-pass,0,3.4783751345986103,,,screen-promising-not-accepted,policy2-screen-summary.json
e3-screen,2026-09-19T21:06:02.6027398Z,e3,e3-80dc139,80dc139dc0a4d250266e1a39b5387c2d44a8c65d,baseline,full-external-memory-and-debug-pass,0,-2.694137622151005,,,screen-deprioritized,policy2-screen-summary.json
e4-screen,2026-09-19T21:13:24.6681775Z,e4,e4-c4b3725,c4b372592b8da8f01a724d4159cc5348ec37bcad,baseline,full-external-memory-pass,0,3.8744262792357986,,,screen-promising-not-accepted,policy2-e4-screen-summary.json
e4-final-cpu,2026-09-19T21:32:29.7306448Z,evaluator,e4-c4b3725,c4b372592b8da8f01a724d4159cc5348ec37bcad,baseline,debug-pass-cpu-replay-fails-on-baseline-and-e4-pr156-passes,0,,,,blocked-before-timing,e4-cpu-gate-report.json
e4fixed-final,2026-09-19T22:15:26.3807400Z,e4,e4fixed-4777371,477737183bc549e16fc21bdca0055f27ed247e7f,baselinefixed,full-external-memory-debug-and-cpu7-pass,3,3.9284268928174644,0.0003945370981699593,97.6645123056225,performance-goal-verified-not-promoted,e4fixed-final-summary.json
e4fixed-final-reference,2026-09-19T22:15:26.3807400Z,e4,e4fixed-4777371,477737183bc549e16fc21bdca0055f27ed247e7f,reference,full-external-memory-debug-and-cpu7-pass,3,0.4693652240424472,0.0003509360661253298,13.343374630034727,fresh-pr156-exceeded-t95-lower-positive,e4fixed-final-summary.json
