candidate,commit,mode,baseline_geomean_gbps,candidate_geomean_gbps,delta_percent,candidate_ladders,z,verdict
e1,54604812649247846f4bb3f38ebc56d30c161997,ABBAx3,8.40657807033443,8.397242816932314,-0.11104700776003841,6,-7.6928834374108614,reject-regression
e2,3092b55690dfc613a7681a3207a5515c936e0f6d,screen-only,8.411588741247131,8.704175352447368,3.4783751345986103,1,,promising-unconfirmed
e3,80dc139dc0a4d250266e1a39b5387c2d44a8c65d,screen-only,8.411588741247131,8.184968964348574,-2.694137622151005,1,,deprioritized
e4,c4b372592b8da8f01a724d4159cc5348ec37bcad,screen-only,8.416175686154885,8.742254208645923,3.8744262792357986,1,,final-confirmation-blocked-inherited-cpu-replay
